UNIQUE.COUNTY,2009,2010,2011,2012,2013,2014,2015,2016
48441,87,90,119,113,117,103,114,102
48451,NA,NA,NA,75,69,60,67,62
48453,NA,NA,NA,629,717,675,741,697
48479,113,95,114,154,187,162,140,133
48485,74,38,76,59,70,68,80,66
48491,103,132,122,128,156,177,142,142
49e3,321,370,427,335,360,354,338,315
49011,109,137,125,96,98,91,114,102
49035,425,425,444,424,465,380,493,458
49049,450,430,454,481,527,465,607,732
49053,NA,NA,NA,44,42,49,60,53
49057,95,96,86,81,82,78,72,81
5e4,312,352,443,420,387,358,401,388
51e3,2703,2613,3180,3404,3359,3441,3606,3384
51013,84,63,63,58,69,84,76,69
51041,148,135,157,153,146,134,148,122
51087,107,107,128,88,91,82,85,94
51107,NA,NA,NA,125,131,134,104,140
51510,39,34,39,35,36,31,28,37
51550,78,90,94,86,64,70,74,58
51650,61,79,91,97,93,106,84,73
51700,72,86,152,121,104,111,96,106
51710,133,140,302,NA,NA,NA,NA,NA
51760,187,180,291,233,224,241,246,227
51810,175,165,199,222,201,201,185,187
53e3,651,641,805,726,708,701,701,689
53011,127,147,131,159,161,147,146,132
53033,830,857,983,886,837,861,943,904
53035,81,86,102,62,88,85,65,69
53053,296,315,320,336,350,329,342,291
53061,197,267,245,235,235,196,228,217
53063,218,266,328,297,296,304,288,287
53067,76,82,86,93,76,78,65,79
53073,148,163,163,145,147,162,156,161
53077,69,63,67,71,69,72,66,79
54e3,718,732,878,867,803,831,787,798
55e3,1801,1756,2059,1174,1138,1081,1075,1077
55009,107,100,112,119,108,109,106,111
55025,310,271,296,299,318,272,282,340
55059,60,58,62,60,68,67,63,65
55063,85,92,116,88,102,104,114,87
55073,54,50,61,47,46,49,41,40
55079,NA,NA,NA,421,405,419,392,389
55087,NA,NA,NA,75,83,63,68,69
55101,39,46,49,49,35,37,41,36
55105,46,56,71,61,70,59,60,73
55117,41,39,45,46,43,38,30,40
55127,NA,NA,NA,67,70,81,70,68
55133,NA,NA,NA,118,111,120,114,101
55139,NA,NA,NA,89,90,90,95,93
56e3,240,253,232,233,221,249,250,246
